,Season,Rank,Player,Pos,Age,G,MP,PTS,AST,TRB,STL,BLK,FG%,eFG%,FT%,PF,WS,WS/48,First,Pts Won,Pts Max,Share,MVP,raptor_offense,raptor_defense,predator_offense,predator_defense
53,1999,15,Darrell Armstrong,PG,30,50,30.0,13.8,6.7,3.6,2.2,0.1,0.441,0.507,0.904,1.8,6.4,0.205,0,2,1180,0.002,0,0.515316471,-1.076565657,0.938862128,-0.536987027
54,1999,16T,Vince Carter,SF,22,50,35.2,18.3,3.0,5.7,1.1,1.5,0.45,0.463,0.761,2.8,5.0,0.136,0,1,1180,0.001,0,1.49713104,-0.131713821,1.412598564,-0.10501412
55,1999,16T,Anfernee Hardaway,SG,27,50,38.9,15.8,5.3,5.7,2.2,0.5,0.42,0.448,0.706,2.2,5.0,0.122,0,1,1180,0.001,0,3.529020233,0.200528156,3.366846949,0.891320144
56,1999,16T,Mark Jackson,PG,33,49,28.2,7.6,7.9,3.8,0.9,0.1,0.419,0.468,0.823,1.2,3.8,0.134,0,1,1180,0.001,0,6.305217851,-0.527345181,6.108291763,-0.171803298
57,1999,16T,Glenn Robinson,SF,26,47,33.6,18.4,2.1,5.9,1.0,0.9,0.459,0.479,0.87,2.4,4.0,0.122,0,1,1180,0.001,0,-1.049317955,-0.52279873,-0.665416299,-1.21347934
58,1999,16T,Steve Smith,SG,29,36,36.5,18.7,3.3,4.2,1.0,0.3,0.402,0.445,0.849,2.8,4.4,0.162,0,1,1180,0.001,0,1.071249111,0.021699112,1.108351835,0.704002656
59,1999,16T,Rasheed Wallace,PF,24,49,28.9,12.8,1.2,4.9,1.0,1.1,0.508,0.522,0.732,3.6,5.0,0.169,0,1,1180,0.001,0,2.177400936,2.108701713,2.342036476,2.707853386
60,2000,1,Shaquille O'Neal,C,27,79,40.0,29.7,3.8,13.6,0.5,3.0,0.574,0.574,0.524,3.2,18.6,0.283,120,1207,1210,0.998,1,4.785292262,0.902775349,5.408090135,0.921480688
61,2000,2,Kevin Garnett,PF,23,81,40.0,22.9,5.0,11.8,1.5,1.6,0.497,0.507,0.765,2.5,11.6,0.172,0,408,1210,0.337,0,2.314217165,1.78381942,3.006845289,1.771428412
62,2000,3,Alonzo Mourning,C,29,79,34.8,21.7,1.6,9.5,0.5,3.7,0.551,0.551,0.711,3.9,12.9,0.226,0,367,1210,0.303,0,-0.919381546,5.084195542,-1.081401393,3.873703186
63,2000,4,Karl Malone,PF,36,82,35.9,25.5,3.7,9.5,1.0,0.9,0.509,0.51,0.797,2.8,15.3,0.249,0,312,1210,0.258,0,2.574695145,0.022447212,2.347010795,0.072623305
64,2000,5,Tim Duncan,PF,23,74,38.9,23.2,3.2,12.4,0.9,2.2,0.49,0.491,0.761,2.8,13.0,0.218,0,248,1210,0.205,0,2.181471716,2.096514225,2.461386402,1.926043433
